2022-02-13 04:29:33 | root | INFO | oldest directory in selected parent dir: "c:/users/Default"
2022-02-13 04:29:33 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:29:33 | root | DEBUG | creating backup "c:/users/backup-2022-02-13" completed successfully
2022-02-13 04:30:58 | root | DEBUG | creating backup in progress "d:/apps/backup-2022-02-13"...
2022-02-13 04:30:58 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:30:58 | root | INFO | oldest backup: "d:/apps/ISOBurner"
2022-02-13 04:30:58 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:30:58 | root | DEBUG | creating backup "d:/apps/backup-2022-02-13" completed successfully
2022-02-13 04:31:26 | root | DEBUG | creating backup in progress "d:/apps/keepassXC/backup-2022-02-13"...
2022-02-13 04:31:26 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:31:26 | root | INFO | oldest backup: "d:/apps/keepassXC/libcrypto-1_1-x64.dll"
2022-02-13 04:31:26 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:31:26 | root | DEBUG | creating backup "d:/apps/keepassXC/backup-2022-02-13" completed successfully
2022-02-13 04:33:28 | root | DEBUG | creating backup in progress "d:/apps/backup-2022-02-13"...
2022-02-13 04:33:28 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:33:28 | root | INFO | oldest backup: "d:/apps/['d:/apps/ + AORUS ENGINE', 'd:/apps/ + Barrier', 'd:/apps/ + Battle.net', 'd:/apps/ + Cisco Packet Trace', 'd:/apps/ + CSR Harmony Wireless Software Stack', 'd:/apps/ + Cygwin', 'd:/apps/ + Dell Display Manager', 'd:/apps/ + desktop.ini', 'd:/apps/ + Diagnostic programs', 'd:/apps/ + draw.io', 'd:/apps/ + Epic Games', 'd:/apps/ + Filezilla', 'd:/apps/ + GIMP', 'd:/apps/ + GOG Galaxy', 'd:/apps/ + HeidiSQL', 'd:/apps/ + IrfanView', 'd:/apps/ + ISOBurner', 'd:/apps/ + Java', 'd:/apps/ + JetBrains', 'd:/apps/ + KeePassXC', 'd:/apps/ + LDAP', 'd:/apps/ + LibreOffice', 'd:/apps/ + Malwarebytes', 'd:/apps/ + MySQL Workbench', 'd:/apps/ + NexusFont', 'd:/apps/ + Notepad++', 'd:/apps/ + OBS Studio', 'd:/apps/ + OpenVPN', 'd:/apps/ + Opera', 'd:/apps/ + Origin', 'd:/apps/ + PuTTY', 'd:/apps/ + Python', 'd:/apps/ + Raspberry Pi Imager', 'd:/apps/ + Rockstar Games Launcher', 'd:/apps/ + Rufus', 'd:/apps/ + Spotify', 'd:/apps/ + Spotify playlist converter', 'd:/apps/ + SQL data modeler', 'd:/apps/ + Steam', 'd:/apps/ + TeamViewer', 'd:/apps/ + Tor Browser', 'd:/apps/ + Ubisoft Game Launcher', 'd:/apps/ + VLC', 'd:/apps/ + VNC Server', 'd:/apps/ + VNC Viewer', 'd:/apps/ + Wampserver', 'd:/apps/ + Windows ISO downloader', 'd:/apps/ + WinRAR', 'd:/apps/ + WinSCP']"
2022-02-13 04:34:50 | root | DEBUG | creating backup in progress "d:/apps/backup-2022-02-13"...
2022-02-13 04:34:50 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:35:21 | root | DEBUG | creating backup in progress "d:/apps/backup-2022-02-13"...
2022-02-13 04:35:21 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:35:45 | root | DEBUG | creating backup in progress "d:/apps/backup-2022-02-13"...
2022-02-13 04:35:45 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:37:28 | root | DEBUG | creating backup in progress "d:/apps/backup-2022-02-13"...
2022-02-13 04:37:28 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:37:28 | root | INFO | oldest backup: "d:/apps/logs"
2022-02-13 04:37:28 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:37:28 | root | DEBUG | creating backup "d:/apps/backup-2022-02-13" completed successfully
2022-02-13 04:38:15 | root | DEBUG | creating backup in progress "d:/apps/backup-2022-02-13"...
2022-02-13 04:38:15 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:38:15 | root | INFO | oldest backup: "d:/apps/KeePassXC"
2022-02-13 04:38:15 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:38:15 | root | DEBUG | creating backup "d:/apps/backup-2022-02-13" completed successfully
2022-02-13 04:38:35 | root | DEBUG | creating backup in progress "d:/apps/winscp/backup-2022-02-13"...
2022-02-13 04:38:35 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:38:35 | root | INFO | oldest backup: "d:/apps/winscp/license.txt"
2022-02-13 04:38:35 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:38:35 | root | DEBUG | creating backup "d:/apps/winscp/backup-2022-02-13" completed successfully
2022-02-13 04:38:59 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 04:38:59 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:38:59 | root | INFO | oldest backup: "d:/apps/filezilla/AUTHORS"
2022-02-13 04:38:59 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:38:59 | root | DEBUG | creating backup "d:/apps/filezilla/backup-2022-02-13" completed successfully
2022-02-13 04:39:30 | root | DEBUG | creating backup in progress "d:/apps/cygwin/backup-2022-02-13"...
2022-02-13 04:39:30 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:39:30 | root | INFO | oldest backup: "d:/apps/cygwin/sbin"
2022-02-13 04:39:30 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:39:30 | root | DEBUG | creating backup "d:/apps/cygwin/backup-2022-02-13" completed successfully
2022-02-13 04:40:30 | root | DEBUG | creating backup in progress "d:/apps/cygwin/backup-2022-02-13"...
2022-02-13 04:40:30 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:40:30 | root | INFO | oldest backup: "d:/apps/cygwin/sbin"
2022-02-13 04:40:30 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:40:30 | root | DEBUG | creating backup "d:/apps/cygwin/backup-2022-02-13" completed successfully
2022-02-13 04:40:43 | root | DEBUG | creating backup in progress "d:/apps/cygwin/backup-2022-02-13"...
2022-02-13 04:40:43 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:40:43 | root | INFO | oldest backup: "d:/apps/cygwin/sbin"
2022-02-13 04:40:43 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:40:43 | root | DEBUG | creating backup "d:/apps/cygwin/backup-2022-02-13" completed successfully
2022-02-13 05:01:32 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 05:01:32 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 05:01:32 | root | INFO | oldest backup: "d:/apps/filezilla/locales"
2022-02-13 05:01:32 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 05:01:32 | root | DEBUG | creating backup "d:/apps/filezilla/backup-2022-02-13" completed successfully
2022-02-13 05:02:23 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 05:02:23 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 05:02:23 | root | INFO | oldest backup: "d:/apps/filezilla/docs"
2022-02-13 05:02:23 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 05:02:23 | root | DEBUG | creating backup "d:/apps/filezilla/backup-2022-02-13" completed successfully
2022-02-13 05:02:59 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 05:02:59 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 05:02:59 | root | INFO | oldest backup: "d:/apps/filezilla/docs"
2022-02-13 05:02:59 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 05:02:59 | root | DEBUG | creating backup "d:/apps/filezilla/backup-2022-02-13" completed successfully
2022-02-13 05:03:05 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 05:03:05 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 05:03:05 | root | INFO | oldest backup: "d:/apps/filezilla/docs"
2022-02-13 05:03:05 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 05:03:05 | root | DEBUG | creating backup "d:/apps/filezilla/backup-2022-02-13" completed successfully
2022-02-13 05:05:01 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 05:05:01 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 05:05:01 | root | INFO | oldest backup: "d:/apps/filezilla/docs"
2022-02-13 05:05:01 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 05:05:01 | root | DEBUG | creating backup "d:/apps/filezilla/backup-2022-02-13" completed successfully
2022-02-13 05:05:12 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 05:05:12 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 05:05:12 | root | INFO | oldest backup: "d:/apps/filezilla/docs"
2022-02-13 05:05:12 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 05:05:12 | root | DEBUG | creating backup "d:/apps/filezilla/backup-2022-02-13" completed successfully
2022-02-13 05:05:13 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 05:05:13 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 05:05:13 | root | INFO | oldest backup: "d:/apps/filezilla/docs"
2022-02-13 05:05:13 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 05:05:13 | root | DEBUG | creating backup "d:/apps/filezilla/backup-2022-02-13" completed successfully
2022-02-13 05:05:14 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 05:05:14 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 05:05:14 | root | INFO | oldest backup: "d:/apps/filezilla/docs"
2022-02-13 05:05:14 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 05:05:14 | root | DEBUG | creating backup "d:/apps/filezilla/backup-2022-02-13" completed successfully
2022-02-13 05:05:16 | root | DEBUG | creating backup in progress "d:/apps/filezilla/backup-2022-02-13"...
2022-02-13 05:05:16 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 05:05:16 | root | INFO | oldest backup: "d:/apps/filezilla/docs"
